sample_id,length,was_split,num_segments,original_cer,split_cer,cer_improvement,original_wer,split_wer
hf_7435,43,False,1,0.046512,0.046512,0.000000,0.333333,0.333333
hf_7476,54,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7496,94,False,1,0.180851,0.180851,0.000000,0.200000,0.200000
hf_7506,31,False,1,0.129032,0.129032,0.000000,1.000000,1.000000
hf_7507,5,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7521,64,False,1,0.218750,0.218750,0.000000,0.500000,0.500000
hf_7559,59,False,1,0.322034,0.322034,0.000000,0.625000,0.625000
hf_7564,51,False,1,0.098039,0.098039,0.000000,0.666667,0.666667
hf_7578,6,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7597,20,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7698,23,False,1,0.086957,0.086957,0.000000,1.000000,1.000000
hf_7762,57,False,1,0.087719,0.087719,0.000000,0.500000,0.500000
hf_7835,15,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7856,20,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_7907,68,False,1,0.014706,0.014706,0.000000,0.333333,0.333333
hf_7930,33,False,1,0.030303,0.030303,0.000000,0.200000,0.200000
hf_7933,41,False,1,0.048780,0.048780,0.000000,0.333333,0.333333
hf_7953,97,False,1,0.113402,0.113402,0.000000,0.666667,0.666667
hf_7957,36,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8149,27,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8167,30,False,1,0.233333,0.233333,0.000000,1.000000,1.000000
hf_8180,11,False,1,0.181818,0.181818,0.000000,1.000000,1.000000
hf_8241,27,False,1,0.037037,0.037037,0.000000,0.333333,0.333333
hf_8272,24,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8275,42,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8295,81,False,1,0.024691,0.024691,0.000000,0.222222,0.222222
hf_8341,88,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8352,32,False,1,0.187500,0.187500,0.000000,0.750000,0.750000
hf_8364,71,False,1,0.028169,0.028169,0.000000,0.250000,0.250000
hf_8414,6,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8573,47,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8577,30,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8586,43,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8671,44,False,1,0.431818,0.431818,0.000000,1.000000,1.000000
hf_8680,17,False,1,0.058824,0.058824,0.000000,0.333333,0.333333
hf_8738,41,False,1,0.219512,0.219512,0.000000,0.500000,0.500000
hf_8800,39,False,1,0.564103,0.564103,0.000000,1.000000,1.000000
hf_8893,39,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_8946,65,False,1,0.200000,0.200000,0.000000,0.600000,0.600000
hf_9065,59,False,1,0.152542,0.152542,0.000000,1.000000,1.000000
hf_9068,19,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_9144,71,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_9150,29,False,1,0.206897,0.206897,0.000000,0.600000,0.600000
hf_9186,43,False,1,0.139535,0.139535,0.000000,1.000000,1.000000
hf_9321,43,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_9363,41,False,1,0.390244,0.390244,0.000000,1.000000,1.000000
hf_9479,73,False,1,0.013699,0.013699,0.000000,0.100000,0.100000
hf_9656,11,False,1,0.909091,0.909091,0.000000,1.000000,1.000000
hf_9671,52,False,1,0.096154,0.096154,0.000000,0.400000,0.400000
hf_9705,31,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_9738,37,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
hf_9764,71,False,1,0.028169,0.028169,0.000000,0.285714,0.285714
hf_9768,52,False,1,0.019231,0.019231,0.000000,0.166667,0.166667
hf_9777,55,False,1,0.054545,0.054545,0.000000,0.500000,0.500000
hf_9884,21,False,1,0.047619,0.047619,0.000000,0.500000,0.500000
